stuId	tag	university	major	majorCategory
jLUtPwus1E		獨協大学	外国語学部 フランス語学科	文系
wIzXL5BLg0		テスト	テスト	文系
oxxhFIDSCw		早稲田大学	文化構想学部文化構想学科	文系
6pcGvt3Wcr		福井県立大学	生物資源学部 生物資源学科	理系
xQUzXFTnAw		慶應義塾大学	商学部商学科	文系
CYNGk0CwVE		東北学院大学	経済学部経済学科	文系
KYocIx8Jiz		東洋大学	文学部日本文学文化学科	文系
Gp5qzsh208		獨協大学	外国語学部英語学科	文系
Vdbfww15zJ		福岡大学	法学部法律学科	文系
rkJ1xA7UNw		環太平洋大学	体育学部体育学科	文系
YSKReC7h22	マスコミ,出版・印刷,広告,IT,ゲーム,コンサルティング	新潟大学	法学部法学科	文系
OZ8GXxzavQ		芝浦工業大学	システム理工学部機械制御システム学科	理系
e0yX8eWigT		佛教大学	文学部中国学科	文系
Q4QQ7mrzik		東北大学	教育学部	文系
IbYOn7s1qH		昭和女子大学	生活科学部管理栄養学科	理系
MgYRegM3dD		東洋大学	社会学部社会文化システム学科	文系
LXH00Atmob	銀行・信金,証券,保険	明治学院大学	社会学部社会学科	文系
ERwkeg2LbO	サービス,商社,人材・教育,コンサルティング,広告,マスコミ,IT,ゲーム,ソフトウェア,出版・印刷	南山大学	経営学部経営学科	文系
KE2bL0UgZs		日本女子大学	文学部英文学科	文系
8WCRob6PMl		中央大学	商学部金融学科	文系
4jec5SZqWd		大学受験は落ちました	今年受験を終え今東京に引っ越してきた	その他
iOmhdo4SDo	人材・教育	長崎県立大学	経済学部	文系
HBSQ1BHfST	IT	近畿大学	法学部法律学科	文系
Lj0s2JsGIM		筑波大学	理工学群社会工学類	理系
xPAVxdNuDB		成城大学	文芸学部文化史学科	文系
qZTJnMkqHb		山口大学	国際総合科学部	文系
vU40Xq47qx		奈良先端科学技術大学院大学	バイオサイエンス研究科	理系
HfcnWgdq8F		大阪大学	経済学部経済・経営学科	文系
tCmrMOwsHg		桜美林大学	リベラルアーツ学群	文系
HpvJo22wDO		明治学院大学	経済学部経済学科	文系
r36Un2Os7J		名城大学	都市情報学部都市情報学科	その他
CNEtvKAlYl		明治学院大学	経済学部経営学科	文系
yziqYs2QnX	人材・教育,IT	東海大学	体育学部武道学科	文系
mXcrWvvTTl	IT	愛媛大学	工学部機能材料工学科	理系
6QAWLk6K1Z	広告,コンサルティング,出版・印刷	バンタンデザイン研究所	WSグラフィック&イラスト学科	その他
q5d9WwDR2n		日本工業大学	工学部情報工学科	理系
F7HwQxcfz1		共立女子大学	家政学部食物栄養学科	理系
mCckpxgKI3	広告	実践女子大学	生活科学部、現代生活学科	文系
cvu7z92Af0		関西学院大学	文学部文化歴史学科	文系
gNuW6f7WmL		千葉大学	工学部	理系
uPNxSgRQ1C		日本大学	経済学部経済学科	文系
5sPydJeIbr		駒澤大学	文学部歴史学科考古学専攻	文系
bHSm2JIW28		さ	坂上	文系
8l1JszLAI5	不動産,IT,インフラ	早稲田大学	教育学部英語英文学科	文系
C5jbcHDpmO	コンサルティング,証券,銀行・信金	慶應義塾大学	文学部	文系
YXdxrm1PYO		日本大学大学院	工学研究科 生命応用化学専攻	理系
WBqqRzMbBW		実践女子大学	文学部美学美術史学科	文系
U8UJNTIWsc		東北工業大学	ライフデザイン学部経営コミュニケーション	文系
